created	updated	index_name	status	message	total	count	limit	offset	fields__name	fields__type	records__id	records__country	records__state	records__city	records__station	records__last_update	records__pollutant_id	records__pollutant_min	records__pollutant_max	records__pollutant_avg	records__pollutant_unit	version
											136	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											137	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	CO	28	176	92		
											138	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	151	264	251		
											139	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											140	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											141	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											142	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											143	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											144	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	CO	10	35	14		
											145	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	49	170	158		
											146	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											147	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											148	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											149	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											150	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											151	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	CO	3	60	7		
											152	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	2	180	156		
											153	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											154	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											155	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											156	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											157	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											158	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	CO	32	90	37		
											159	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	1	64	50		
											160	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											161	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											162	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											163	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											164	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											165	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	CO	10	68	16		
											166	India	Delhi	Delhi	"Patparganj, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	1	200	186		
											167	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											168	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											169	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											170	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											171	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											172	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	CO	16	75	20		
											173	India	Delhi	Delhi	"Punjabi Bagh, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	10	198	149		
											174	India	Delhi	Delhi	"Pusa, New Delhi - IMD"	23-04-2018 05:00:00	PM2.5	31	74	55		
											175	India	Delhi	Delhi	"Pusa, New Delhi - IMD"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											176	India	Delhi	Delhi	"Pusa, New Delhi - IMD"	23-04-2018 05:00:00	NO2	36	50	41		
											177	India	Delhi	Delhi	"Pusa, New Delhi - IMD"	23-04-2018 05:00:00	CO	14	36	21		
											178	India	Delhi	Delhi	"Pusa, New Delhi - IMD"	23-04-2018 05:00:00	OZONE	18	46	44		
											179	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											180	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
